"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"AG.LND.EL5M.RU.ZS","Rural land area where elevation is below 5 meters (% of total land area)","Rural land area below 5m is the percentage of total land where the rural land elevation is 5 meters or less.","Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2.",
"AG.LND.EL5M.UR.K2","Urban land area where elevation is below 5 meters (sq. km)","Urban land area below 5m is the total urban land area in square kilometers where the elevation is 5 meters or less.","Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2.",
"AG.LND.EL5M.UR.ZS","Urban land area where elevation is below 5 meters (% of total land area)","Urban land area below 5m is the percentage of total land where the urban land elevation is 5 meters or less.","Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2.",
"AG.LND.EL5M.ZS","海拔低于5米的土地面积(占土地总面积的比例)","海拔低于5米的土地面积是指海拔低于5米的土地面积占土地总面积的比例。 ","国际地球科学信息网络中心（CIESIN），广场二期数据集。",
"AG.LND.FRST.K2","森林面积（平方公里）","森林面积是指由自然生长或人工种植且原地高度至少为5米的直立树木（无论是否属于生产性）所覆盖的土地，不包括农业生产系统中的立木（例如，果树种植园和农林系统）以及城市公园和花园中的树木。","联合国粮农组织，电子文件和网站。",
"AG.LND.FRST.ZS","森林面积（占土地面积的百分比）","森林面积是指由自然生长或人工种植且原地高度至少为5米的直立树木（无论是否属于生产性）所覆盖的土地，不包括农业生产系统中的立木（例如，果树种植园和农林系统）以及城市公园和花园中的树木。","联合国粮农组织，电子文件和网站。",
"AG.LND.IRIG.AG.ZS","农业灌溉用地（占农业用地总量的百分比）","农业灌溉用地指有专门供水的农业区，其中包括采用控制漫灌法灌溉的土地。","联合国粮农组织，电子文件和网站。",
"AG.LND.PRCP.MM","平均降水深度（年毫米）  ","平均降水量是国家范围内年降水量的长期平均深度（时空分布）。降水量指从云层中降落的任何液态水或固态水。","联合国粮农组织，电子文件和网站。",
"AG.LND.TOTL.K2","土地面积（平方公里）","土地面积是指一国国土总面积，不包括内陆水体、提出主权主张的大陆架和专属经济区。在大部分情况下，内陆水体的定义包括主要河流和湖泊。","联合国粮农组织，电子文件和网站。",
"AG.LND.TOTL.RU.K2","Rural land area (sq. km)","Rural land area in square kilometers, derived from urban extent grids which distinguish urban and rural areas based on a combination of population counts (persons), settlement points, and the presence of Nighttime Lights. Areas are defined as urban where contiguous lighted cells from the Nighttime Lights or approximated urban extents based on buffered settlement points for which the total population is greater than 5,000 persons.","Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2.",
"AG.LND.TOTL.UR.K2","Urban land area (sq. km)","Urban land area in square kilometers, based on a combination of population counts (persons), settlement points, and the presence of Nighttime Lights. Areas are defined as urban where contiguous lighted cells from the Nighttime Lights or approximated urban extents based on buffered settlement points for which the total population is greater than 5,000 persons.","Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2.",
"AG.LND.TRAC.ZS","农业机械，每 100 平方公里耕地拥有的拖拉机数量","农业机械指在指定日历年年末或下年第一季度期间农业生产中使用的轮胎式和履带式拖拉机（园艺拖拉机除外）的数量。联合国粮农组织 定义的耕地包括短期作物用地（种植双季作物的土地只计算一次）、供割草或放牧的短期草场、供应市场的菜园和自用菜园，以及暂时休闲的土地。因转换耕作方式而休闲的土地不包括在内。","联合国粮农组织，电子文件和网站。",
"AG.PRD.CREL.MT","谷物产量（公吨）","谷类生产数据与收获后仅用作干燥谷物的作物相关。收获后用作干草或未成熟时收割用作食物、饲料或青贮饲料或作牧草用的谷类作物除外。","联合国粮农组织，电子文件和网站。",
"AG.PRD.CROP.XD","作物生产指数（2004 年-2006 年= 100）","作物生产指数显示现的是相对于基期 2004 年 - 2001 年的每年农业产量，包括除饲料作物以外的所有作物。联合国粮农组织 (FAO) 生产指数的地区和收入组别总和根据国际元潜在价值进行计算，以2004年 -2006 年为基期规范化。","联合国粮农组织，电子文件和网站。",
"AG.PRD.FOOD.XD","食品生产指数（2004 年 - 2001 年 = 100）","食品生产指数涵盖被视为可食用且含营养成分的食品作物。咖啡和茶不包括，因为虽可饮用但无营养价值。","联合国粮农组织，电子文件和网站。",
"AG.PRD.LVSK.XD","畜牧业生产指数（2004 年 - 2001 年 = 100）","畜牧业生产指数包括所有来源的肉和奶、奶酪等奶制品、鸡蛋、蜂蜜、生丝、毛和皮革。","联合国粮农组织，电子文件和网站。",
"AG.SRF.TOTL.K2","国土面积（平方千米）","国土面积是一个国家的总面积，其中包括内陆水体和边海的水域面积。","联合国粮农组织，电子文件和网站。",
"AG.YLD.CREL.KG","谷类产量（每公顷千克数）","谷类产量按照收获土地每公顷千克数来计量，包括小麦、水稻、玉米、大麦、燕麦、黑麦、小米、高粱、荞麦和杂粮。谷类生产数据与收获后仅用作干燥谷物的作物相关。收获后用作干草或未成熟时收割用作食物、饲料或青贮饲料或作牧草用的谷类作物除外。世界粮农组织将生产数据分配至得到多数粮食收成的日历年份。临近年终的粮食收成将被计算至下一年。","联合国粮农组织，电子文件和网站。",
"BG.GSR.NFSV.GD.ZS","服务贸易额（占国民生产总值（GDP）比例）","服务贸易额是指服务进出口额除以国民生产总值（GDP）的结果，计算过程中服务进出口额和国民生产总值均按现值美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件，以及世界银行和经济合作与发展组织 (OECD) 的 GDP 估算。",
"BM.GSR.CMCP.ZS","通信、计算机等（占服务进口额的百分比，BoP）","通信、计算机、信息和其他服务（占服务进口额的百分比，BoP）包括国际电信、邮政和速递服务；计算机数据；居民和非居民之间的新闻相关服务交易；建筑服务；版税和特许权费；各种商业、专业和技术服务；个人、文化和娱乐服务；以及别处未包括的政府服务。服务进口指生产、转移和消费可能同时进行的无形商品的经济输入。服务业国际交易的定义出自国际货币基金组织 (IMF) 1993年《国际收支手册》，但各报告经济体的定义可能会有差异。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BM.GSR.FCTY.CD","初次收入的支付（国际收支平衡，现价美元）","收入支付是指向非居民劳工支付的薪酬和投资收入（直接投资、证券投资、其他投资的支付）。使用无形资产获得的收入不计入收入，而计入商业服务项下。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BM.GSR.GNFS.CD","货物和服务进口（BoP，现价美元）","货物和服务进口涉及一国居民与来自世界其他国家之间的所有交易，包括一般商品从非居民向居民的所有权变更、送去加工或修理的货物、非货币黄金以及服务。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BM.GSR.INSF.ZS","保险与金融服务（占服务进口的百分比，BoP）","保险与金融服务（占服务进口的百分比，BoP）涵盖居民保险企业向非居民提供的各种保险（反之亦然）以及居民和非居民之间交换的金融中介和辅助性服务（保险企业和养老基金提供的此类服务除外）。服务进口指生产、转移和消费可能同时进行的无形商品的经济输入。服务业国际交易的定义出自国际货币基金组织 (IMF) 1993年《国际收支手册》，但各报告经济体的定义可能会有差异。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BM.GSR.MRCH.CD","货物进口（BoP，现价美元）","货物进口是指所有可移动货物（包括非货币黄金）从非居民向居民的所有权变更。该类别包含以前归入服务类的货物： 收到或发出的待加工货物及其随后以加工品形式出口或进口的货物、货物修理以及承运人在港口采购的货物。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BM.GSR.NFSV.CD","服务进口（BoP，按当值美元计）","服务（旧称非要素服务）是指无形商品的经济输出，其生产、转移和消费可同时进行。服务业国际交易的定义出自国际货币基金组织 (IMF) 的1993年《国际收支手册》，但各报告经济体的定义可能会有差异。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BM.GSR.ROYL.CD","知识产权使用费，支付（国际收支平衡，现价美元）","版税与许可费是指居民和非居民之间为在授权的情况下使用无形、不可再生的非金融资产和专有权利（例如专利、版权、商标、工业流程和特许权），以许可的形式使用原创产品的复制真品（例如电影和手稿）而进行的付款和收款。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BM.GSR.TOTL.CD","商品与服务的进口和初次收入（国际收支平衡，现价美元）","货物服务进口和收入是货物（商品）进口、（非要素性服务）服务进口和（要素性）收入支付的总和。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BM.GSR.TRAN.ZS","交通服务（占国际收支统计口径的服务进口比例）","交通服务（占国际收支统计口径的服务进口比例）涵盖某一经济体内居民为其它经济体提供的所有类型的交通服务（海上交通、空中交通、陆地交通、内陆水域交通、空间交通和管道交通），包括旅客运输、货物调遣、运输工具及人员出租以及相关的支持服务和附属服务。交通服务中不包括货物保险（属于保险服务范畴）；港口内非本地运输工具运输的货物和交通设备修理（属于货物服务范畴）；铁路设施、港口和机场设施修理（属于建设服务范畴）；以及不包括工作人员在内的交通工具出租（属于其它服务范畴）。服务进口指生产、转移和消费可能同时进行的无形商品的经济输入。服务业国际交易的定义出自国际货币基金组织 (IMF) 1993年《国际收支手册》，但各报告经济体的定义可能会有差异。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BM.GSR.TRVL.ZS","旅行服务（占国际收支统计口径的服务进口比例）","旅行服务（占国际收支统计口径的服务进口比例）涵盖旅行者在某一经济体内进行商务访问或个人游览过程中（为期不超过一年）从该经济体获得的各类自用货物和服务。服务进口指生产、转移和消费可能同时进行的无形商品的经济输入。服务业国际交易的定义出自国际货币基金组织 (IMF) 1993年《国际收支手册》，但各报告经济体的定义可能会有差异。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BM.KLT.DINV.CD.WD","Foreign direct investment, net outflows (BoP, current US$)","Foreign direct investment refers to direct investment equity flows in an economy. It is the sum of equity capital, reinvestment of earnings, and other capital. Direct investment is a category of cross-border investment associated with a resident in one economy having control or a significant degree of influence on the management of an enterprise that is resident in another economy. Ownership of 10 percent or more of the ordinary shares of voting stock is the criterion for determining the existence of a direct investment relationship. This series shows net outflows of investment from the reporting economy to the rest of the world. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments database, supplemented by data from the United Nations Conference on Trade and Development and official national sources.",
"BM.KLT.DINV.WD.GD.ZS","对外直接投资净流出（占 GDP 的百分比）","外国直接投资是指投资者为获得在另一经济体中运作的企业的永久性管理权益（10%以上表决权）所做的投资的净流入。它是股权资本、收益再投资、其他长期资本以及国际收支平衡表中显示的短期资本之和。此系列显示报告经济体对世界其他国家的投资净流出并除以 GDP。","国际货币基金组织的《国际金融统计》和《国际收支平衡》数据库，世界银行的《全球发展金融》及世界银行和经合组织的 GDP估算。",
"BM.TRF.PRVT.CD","再分配收入，其它行业，支付（国际收支平衡，现价美元）","经常转移为国际收支中记录的经济体任何时候收到货物、服务、收入或无等值交换物的金融项目的金额。所有未视为资本的转移均为经常转移。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BM.TRF.PWKR.CD.DT","已付劳工汇款和职工报酬（按现值美元计）","劳工汇款和职工报酬包括流动工人创造的经常转移以及非本地工作人员挣得的工资和薪水。在此，汇款是指在侨居国居住时间超过一年的流动工人（无论其移民身份如何）与其原籍国收款人私人之间的经常转移。移民转移被定义为希望在侨居国居住超过一年的移民在从一国移居至另外一国时实现的净价值。职工报酬是指在侨居国居住不足一年的流动工人收入。数据按现价美元计。","该结果由世界银行工作人员根据国际货币基金组织（IMF）的贸易差额数据估算得出。",
"BN.CAB.XOKA.CD","经常账户余额（BoP，现价美元）","经常账户余额为货物和服务出口净额、收入净额与经常转移净额之和。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BN.CAB.XOKA.GD.ZS","经常账户余额（占 GDP 的比例）","经常账户余额为货物和服务出口净额、收入净额与经常转移净额之和。","国际货币基金组织的《国际收支统计年鉴》和数据文件，以及世界银行和经济合作与发展组织 (OECD) 的 GDP 估算。",
"BN.FIN.TOTL.CD","","","",
"BN.GSR.FCTY.CD","净初次收入（国际收支平衡，现价美元）","净收入指的是支付给非居民工人的员工报酬的收支以及投资收入（直接投资、证券投资、其他投资的收支以及储备资产的收入）。通过使用无形资产获得的收入记录在商业服务项下。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BN.GSR.GNFS.CD","净货物和服务贸易（BoP，现价美元）","净货物和服务贸易是通过用货物和服务的进口冲减货物和服务的出口得出的。货物和服务的出口和进口涵盖一个国家的居民与世界上其他地方之间的所有涉及货物和服务的所有权变更的交易。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BN.GSR.MRCH.CD","净货物贸易（BoP，现价美元）","净货物贸易是货物出口和进口之间的差。该类别包含以前归入服务类的货物： 收到或发出的待加工货物及其随后以加工品形式出口或进口的货物、货物修理以及承运人在港口采购的货物。服务贸易不包括在内。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BN.KAC.EOMS.CD","净错误与遗漏（国际收支平衡，现价美元）","净误差和遗漏构成了一个必要的残余类别，以保证国际收支平衡表中所有的借方和贷方项目相加为零。在《国际金融统计》报告中，这相当于储备和相关项目之间的差以及经常账户、资本账户和金融账户的结余的总和。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BN.KLT.DINV.CD","外国直接投资净额（BoP，现价美元）","外国直接投资是指投资者为获得在另一经济体运作的企业的永久性管理权益（10%以上表决权）所做的投资的净流入。它是股权资本、收益再投资、其他长期资本以及国际收支平衡表中显示的短期资本之和。此系列显示总净额，即报告经济体从国外来源获得的外国直接投资净额减去该经济体对世界其他国家的对外直接投资净额之差。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BN.KLT.PTXL.CD","证券投资，净投资（国际收支平衡，现价美元）","不包括构成外国当局储备的债务在内的证券组合投资涵盖股票和债券交易。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BN.RES.INCL.CD","净储备变动率（BoP，现价美元）","净储备变动率是活期存款账户、资本账户和金融账户交易所引起的一国国际储备持有量的净变动。这些变动包括货币黄金持有量、特别提款权 (SDR)、外汇资产、国际货币基金组织的储备头寸以及对中央政府可用的其他非居民债权的变动。这一指标扣除构成外国当局储备的债务净额以及估价变化对口项目和特殊融资项目。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BN.TRF.CURR.CD","净再分配收入（国际收支平衡，现价美元）","净经常转移是当一个经济体提供或收到货物、服务、收入或无等值交换物的金融项目时记入国际收支帐户。所有未视为资本的转移均为经常转移。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BN.TRF.KOGT.CD","净资本账户（BoP，现价美元）","净资本账户包括政府债务减免、政府实体提供的现金或实物形式的投资捐赠、以及资本转移税。其中还包括移民的资本转移和非政府实体的债务减免和投资捐赠。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BX.GRT.EXTA.CD.WD","赠款，不包括技术合作（BoP，现价美元）","赠款的定义是有法律约束力的承诺：义务提供特定金额以供支出的资金，该项资金无需偿还。数据按现价美元计。","世界银行，全球发展金融和经济合作与发展组织。",
"BX.GRT.TECH.CD.WD","技术合作捐助（BoP，现价美元）","技术合作捐助包括独立技术合作捐助和与投资有关的技术合作捐助，前者旨在为用于一般性国家能力建设而非具体投资项目的技术和管理技能转让或技术转让提供资金；后者用于增强某一具体投资项目的执行能力。数据按现价美元计。","世界银行，全球发展金融和经济合作与发展组织。",
"BX.GSR.CCIS.CD","信息和通信技术 (ICT) 服务出口（BoP，现价美元）","信息与通信技术服务出口包括计算机和通信服务（电信、邮政和速递服务）以及信息服务（计算机数据和新闻相关服务交易）。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BX.GSR.CCIS.ZS","信息和通信技术 (ICT) 服务出口（占服务出口的百分比，BoP）","信息与通信技术服务出口包括计算机和通信服务（电信、邮政和速递服务）以及信息服务（计算机数据和新闻相关服务交易）。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BX.GSR.CMCP.ZS","通信、计算机等（占服务出口额的百分比，BoP）","通信、计算机、信息和其他服务（占服务出口额的百分比，BoP）包括国际电信、邮政和速递服务；计算机数据；居民和非居民之间的新闻相关服务交易；建筑服务；版税和特许权费；杂项、专业和技术服务；个人、文化和娱乐服务；以及别处未包括的政府服务。服务出口指生产、转移和消费可能同时进行的无形商品的经济输出。服务业国际交易的定义出自国际货币基金组织 (IMF) 的1993年《国际收支手册》，但各报告经济体的定义可能会有差异。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BX.GSR.FCTY.CD","初次收入的接收（国际收支平衡，现价美元）","收入所得是指向在境外工作的居民工人支付的薪酬和投资收入（直接投资、证券投资、其他投资所得以及储备资产所得）。使用无形资产获得的收入不计入收入，而计入商业服务项下。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BX.GSR.GNFS.CD","货物和服务出口（BoP，现价美元）","货物和服务出口包含一国居民与世界其他国家的所有交易，包括一般商品从居民向非居民的所有权变更、送去加工或修理的货物、非货币黄金以及服务。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BX.GSR.INSF.ZS","保险与金融服务（占服务出口的百分比，BoP）","保险与金融服务（占服务出口的百分比，BoP）涵盖居民保险企业向非居民提供的各种保险（反之亦然）以及居民和非居民之间交换的金融中介和辅助性服务（保险企业和养老基金提供的此类服务除外）。服务出口指生产、转移和消费可能同时进行的无形商品的经济输出。服务业国际交易的定义出自国际货币基金组织 (IMF) 的1993年《国际收支手册》，但各报告经济体的定义可能会有差异。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BX.GSR.MRCH.CD","货物出口（BoP，现价美元）","货物出口是指所有可移动货物（包括非货币黄金）从居民向非居民的所有权变更。该类别包含以前归入服务类的货物： 收到或发出的待加工货物及其随后以加工品形式出口或进口的货物、货物修理以及承运人在港口采购的货物。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BX.GSR.NFSV.CD","服务出口（BoP，按当值美元计）","服务（旧称非要素服务）是指无形商品的经济输出，其生产、转移和消费可同时进行。服务业国际交易的定义出自国际货币基金组织 (IMF) 的1993年《国际收支手册》，但各报告经济体的定义可能会有差异。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BX.GSR.ROYL.CD","知识产权使用费，接收（国际收支平衡，现价美元）","版税与许可费是指居民和非居民之间为在授权的情况下使用无形、不可再生的非金融资产和专有权利（例如专利、版权、商标、工业流程和特许权），以许可的形式使用原创产品的复制真品（例如电影和手稿）而进行的付款和收款。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BX.GSR.TOTL.CD","商品与服务的出口和初次收入（国际收支平衡，现价美元）","货物、服务出口和收入是货物（商品）出口、（非要素性）服务出口和收入（要素性）的总和。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BX.GSR.TRAN.ZS","交通服务（占国际收支统计口径的服务出口比例）","交通服务（占国际收支统计口径的服务出口比例）涵盖某一经济体内居民为其它经济体提供的所有类型的交通服务（海上交通、空中交通、陆地交通、内陆水域交通、空间交通和管道交通），包括旅客运输、货物调遣、运输工具及人员出租以及相关的支持服务和附属服务。交通服务中不包括货物保险（属于保险服务范畴）；港口内非本地运输工具运输的货物和交通设备修理（属于货物服务范畴）；铁路设施、港口和机场设施修理（属于建设服务范畴）；以及不包括工作人员在内的交通工具出租（属于其它服务范畴）。服务出口指生产、转移和消费可能同时进行的无形商品的经济输出。服务业国际交易的定义出自国际货币基金组织 (IMF) 的1993年《国际收支手册》，但各报告经济体的定义可能会有差异。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BX.GSR.TRVL.ZS","旅行服务（占国际收支统计口径的服务出口比例）","旅行服务（占国际收支统计口径的服务出口比例）涵盖旅行者在某一经济体内进行商务访问或个人游览过程中（为期不超过一年）从该经济体获得的各类自用货物和服务。服务出口指生产、转移和消费可能同时进行的无形商品的经济输出。服务业国际交易的定义出自国际货币基金组织 (IMF) 的1993年《国际收支手册》，但各报告经济体的定义可能会有差异。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
"BX.KLT.DINV.CD.WD","外国直接投资净流入（BoP，现价美元）","外国直接投资是指投资者为获得在另一经济体中运作的企业的永久性管理权益（10%以上表决权）所做的投资的净流入。它是股权资本、收益再投资、其他长期资本以及国际收支平衡表中显示的短期资本之和。此系列显示报告经济体来自外国投资者的净流入（新投资流入减去撤资）。数据按现价美元计。","国际货币基金组织，平衡国际收支数据库，并辅以由联合国贸易与发展会议和国家官方来源的数据。",
"BX.KLT.DINV.WD.GD.ZS","外国直接投资净流入（占 GDP 的百分比）","外国直接投资是指投资者为获得在另一经济体中运作的企业的永久性管理权益（10%以上表决权）所做的投资的净流入。它是股权资本、收益再投资、其他长期资本以及国际收支平衡表中显示的短期资本之和。此系列显示报告经济体来自外国投资者的净流入（新投资流入减去撤资），并除以 GDP。","国际货币基金组织的《国际金融统计》和《国际收支平衡》数据库，世界银行的《全球发展金融》及世界银行和经合组织的 GDP估算。",
"BX.KLT.DREM.CD.DT","外国直接投资的利润汇出 （按当值美元计）","外国直接投资的利润汇出包括直接投资收入的支付（借方），该收入由资产收入（分红、分支机构的利润和再投资收益）和公司间债务收入（利息）。数据按现价美元计。","世界银行《全球发展金融》。",
"BX.PEF.TOTL.CD.WD","证券组合股权，净流入（BoP，现价美元）","股票投资组合包括除记录为直接投资以外的股权证券净流入，包括股份、股票、存款收据（美国或全球的）以及外国投资者在当地股票市场中直接购买的股票。数据按现价美元计。","国际货币基金组织的《国际收支平衡表数据》，以及世界银行的《全球发展融资》。",
"BX.TRF.CURR.CD","再分配收入的接入（国际收支平衡，现价美元）","经常转移（收入）为国际收支中记录的经济体任何时候收到货物、服务、收入或无等值交换物的金融项目的金额。所有未视为资本的转移均为经常转移。数据按现价美元计。","国际货币基金组织的《国际收支统计年鉴》和数据文件。",
